Sub Capa 1,Sub Capa 2,Sub Capa 3,Loss,Optimizer
linear,linear,linear,categorical_crossentropy,adam
linear,linear,linear,categorical_crossentropy,rmsprop
linear,linear,linear,mean_squared_error,adam
linear,linear,linear,mean_squared_error,rmsprop
linear,linear,relu,categorical_crossentropy,adam
linear,linear,relu,categorical_crossentropy,rmsprop
linear,linear,relu,mean_squared_error,adam
linear,linear,relu,mean_squared_error,rmsprop
linear,linear,sigmod,categorical_crossentropy,adam
linear,linear,sigmod,categorical_crossentropy,rmsprop
linear,linear,sigmod,mean_squared_error,adam
linear,linear,sigmod,mean_squared_error,rmsprop
linear,linear,tanh,categorical_crossentropy,adam
linear,linear,tanh,categorical_crossentropy,rmsprop
linear,linear,tanh,mean_squared_error,adam
linear,linear,tanh,mean_squared_error,rmsprop
linear,relu,linear,categorical_crossentropy,adam
linear,relu,linear,categorical_crossentropy,rmsprop
linear,relu,linear,mean_squared_error,adam
linear,relu,linear,mean_squared_error,rmsprop
linear,relu,relu,categorical_crossentropy,adam
linear,relu,relu,categorical_crossentropy,rmsprop
linear,relu,relu,mean_squared_error,adam
linear,relu,relu,mean_squared_error,rmsprop
linear,relu,sigmod,categorical_crossentropy,adam
linear,relu,sigmod,categorical_crossentropy,rmsprop
linear,relu,sigmod,mean_squared_error,adam
linear,relu,sigmod,mean_squared_error,rmsprop
linear,relu,tanh,categorical_crossentropy,adam
linear,relu,tanh,categorical_crossentropy,rmsprop
linear,relu,tanh,mean_squared_error,adam
linear,relu,tanh,mean_squared_error,rmsprop
linear,sigmod,linear,categorical_crossentropy,adam
linear,sigmod,linear,categorical_crossentropy,rmsprop
linear,sigmod,linear,mean_squared_error,adam
linear,sigmod,linear,mean_squared_error,rmsprop
linear,sigmod,relu,categorical_crossentropy,adam
linear,sigmod,relu,categorical_crossentropy,rmsprop
linear,sigmod,relu,mean_squared_error,adam
linear,sigmod,relu,mean_squared_error,rmsprop
linear,sigmod,sigmod,categorical_crossentropy,adam
linear,sigmod,sigmod,categorical_crossentropy,rmsprop
linear,sigmod,sigmod,mean_squared_error,adam
linear,sigmod,sigmod,mean_squared_error,rmsprop
linear,sigmod,tanh,categorical_crossentropy,adam
linear,sigmod,tanh,categorical_crossentropy,rmsprop
linear,sigmod,tanh,mean_squared_error,adam
linear,sigmod,tanh,mean_squared_error,rmsprop
linear,tanh,linear,categorical_crossentropy,adam
linear,tanh,linear,categorical_crossentropy,rmsprop
linear,tanh,linear,mean_squared_error,adam
linear,tanh,linear,mean_squared_error,rmsprop
linear,tanh,relu,categorical_crossentropy,adam
linear,tanh,relu,categorical_crossentropy,rmsprop
linear,tanh,relu,mean_squared_error,adam
linear,tanh,relu,mean_squared_error,rmsprop
linear,tanh,sigmod,categorical_crossentropy,adam
linear,tanh,sigmod,categorical_crossentropy,rmsprop
linear,tanh,sigmod,mean_squared_error,adam
linear,tanh,sigmod,mean_squared_error,rmsprop
linear,tanh,tanh,categorical_crossentropy,adam
linear,tanh,tanh,categorical_crossentropy,rmsprop
linear,tanh,tanh,mean_squared_error,adam
linear,tanh,tanh,mean_squared_error,rmsprop
relu,linear,linear,categorical_crossentropy,adam
relu,linear,linear,categorical_crossentropy,rmsprop
relu,linear,linear,mean_squared_error,adam
relu,linear,linear,mean_squared_error,rmsprop
relu,linear,relu,categorical_crossentropy,adam
relu,linear,relu,categorical_crossentropy,rmsprop
relu,linear,relu,mean_squared_error,adam
relu,linear,relu,mean_squared_error,rmsprop
relu,linear,sigmod,categorical_crossentropy,adam
relu,linear,sigmod,categorical_crossentropy,rmsprop
relu,linear,sigmod,mean_squared_error,adam
relu,linear,sigmod,mean_squared_error,rmsprop
relu,linear,tanh,categorical_crossentropy,adam
relu,linear,tanh,categorical_crossentropy,rmsprop
relu,linear,tanh,mean_squared_error,adam
relu,linear,tanh,mean_squared_error,rmsprop
relu,relu,linear,categorical_crossentropy,adam
relu,relu,linear,categorical_crossentropy,rmsprop
relu,relu,linear,mean_squared_error,adam
relu,relu,linear,mean_squared_error,rmsprop
relu,relu,relu,categorical_crossentropy,adam
relu,relu,relu,categorical_crossentropy,rmsprop
relu,relu,relu,mean_squared_error,adam
relu,relu,relu,mean_squared_error,rmsprop
relu,relu,sigmod,categorical_crossentropy,adam
relu,relu,sigmod,categorical_crossentropy,rmsprop
relu,relu,sigmod,mean_squared_error,adam
relu,relu,sigmod,mean_squared_error,rmsprop
relu,relu,tanh,categorical_crossentropy,adam
relu,relu,tanh,categorical_crossentropy,rmsprop
relu,relu,tanh,mean_squared_error,adam
relu,relu,tanh,mean_squared_error,rmsprop
relu,sigmod,linear,categorical_crossentropy,adam
relu,sigmod,linear,categorical_crossentropy,rmsprop
relu,sigmod,linear,mean_squared_error,adam
relu,sigmod,linear,mean_squared_error,rmsprop
relu,sigmod,relu,categorical_crossentropy,adam
relu,sigmod,relu,categorical_crossentropy,rmsprop
relu,sigmod,relu,mean_squared_error,adam
relu,sigmod,relu,mean_squared_error,rmsprop
relu,sigmod,sigmod,categorical_crossentropy,adam
relu,sigmod,sigmod,categorical_crossentropy,rmsprop
relu,sigmod,sigmod,mean_squared_error,adam
relu,sigmod,sigmod,mean_squared_error,rmsprop
relu,sigmod,tanh,categorical_crossentropy,adam
relu,sigmod,tanh,categorical_crossentropy,rmsprop
relu,sigmod,tanh,mean_squared_error,adam
relu,sigmod,tanh,mean_squared_error,rmsprop
relu,tanh,linear,categorical_crossentropy,adam
relu,tanh,linear,categorical_crossentropy,rmsprop
relu,tanh,linear,mean_squared_error,adam
relu,tanh,linear,mean_squared_error,rmsprop
relu,tanh,relu,categorical_crossentropy,adam
relu,tanh,relu,categorical_crossentropy,rmsprop
relu,tanh,relu,mean_squared_error,adam
relu,tanh,relu,mean_squared_error,rmsprop
relu,tanh,sigmod,categorical_crossentropy,adam
relu,tanh,sigmod,categorical_crossentropy,rmsprop
relu,tanh,sigmod,mean_squared_error,adam
relu,tanh,sigmod,mean_squared_error,rmsprop
relu,tanh,tanh,categorical_crossentropy,adam
relu,tanh,tanh,categorical_crossentropy,rmsprop
relu,tanh,tanh,mean_squared_error,adam
relu,tanh,tanh,mean_squared_error,rmsprop
sigmod,linear,linear,categorical_crossentropy,adam
sigmod,linear,linear,categorical_crossentropy,rmsprop
sigmod,linear,linear,mean_squared_error,adam
sigmod,linear,linear,mean_squared_error,rmsprop
sigmod,linear,relu,categorical_crossentropy,adam
sigmod,linear,relu,categorical_crossentropy,rmsprop
sigmod,linear,relu,mean_squared_error,adam
sigmod,linear,relu,mean_squared_error,rmsprop
sigmod,linear,sigmod,categorical_crossentropy,adam
sigmod,linear,sigmod,categorical_crossentropy,rmsprop
sigmod,linear,sigmod,mean_squared_error,adam
sigmod,linear,sigmod,mean_squared_error,rmsprop
sigmod,linear,tanh,categorical_crossentropy,adam
sigmod,linear,tanh,categorical_crossentropy,rmsprop
sigmod,linear,tanh,mean_squared_error,adam
sigmod,linear,tanh,mean_squared_error,rmsprop
sigmod,relu,linear,categorical_crossentropy,adam
sigmod,relu,linear,categorical_crossentropy,rmsprop
sigmod,relu,linear,mean_squared_error,adam
sigmod,relu,linear,mean_squared_error,rmsprop
sigmod,relu,relu,categorical_crossentropy,adam
sigmod,relu,relu,categorical_crossentropy,rmsprop
sigmod,relu,relu,mean_squared_error,adam
sigmod,relu,relu,mean_squared_error,rmsprop
sigmod,relu,sigmod,categorical_crossentropy,adam
sigmod,relu,sigmod,categorical_crossentropy,rmsprop
