ID,Trainning,Testing
1,0.7228571430,0.6599999976
2,0.7228571430,0.6799999976
3,0.7228571449,0.6799999976
4,0.7257142880,0.6799999976
5,0.7171428592,0.6600000095
6,0.7171428565,0.6200000095
28,0.7200000020,0.6600000095
74,0.7171428565,0.6600000095
108,0.7142857139,0.6600000095
114,0.7342857139,0.6599999976
132,0.7142857163,0.6600000095
151,0.7142857163,0.6600000095
172,0.7142857163,0.6600000095
212,0.7199999997,0.6599999976
228,0.7142857139,0.6799999976
235,0.7142857139,0.6400000095
244,0.7199999993,0.6400000095
253,0.7228571452,0.6599999976
256,0.7228571452,0.6599999976
